NGCNGC/IC;MES-cat;RightAsc.(2000);0;Decl.(2000);0
NGC333;0;0;58;-16;28
NGC333;0;0;58;-16;28
NGC333;0;0;58;-16;28
NGC334;0;0;58;-35;6
NGC335;0;0;59;-18;14
NGC336;0;0;58;-18;23
NGC337;0;0;59;-7;34
NGC337;0;1;1;-7;35
NGC338;0;1;0;30;40
NGC339;0;0;57;-74;28
NGC340;0;1;0;-6;52
NGC341;0;1;0;-9;11
NGC341;0;1;0;-9;11
NGC341;0;1;0;-9;11
NGC342;0;1;0;-6;46
NGC343;0;0;58;-23;13
NGC344;0;0;58;-23;13
NGC345;0;1;1;-6;53
NGC346;0;0;59;-72;10
NGC347;0;1;1;-6;44
NGC348;0;1;0;-53;14
NGC349;0;1;1;-6;48
NGC350;0;1;1;-6;47
NGC351;0;1;1;-1;56
NGC352;0;1;2;-4;14
NGC353;0;1;2;-1;57
NGC354;0;1;3;22;20
NGC355;0;1;3;-6;19
NGC356;0;1;3;-6;59
NGC357;0;1;3;-6;20
NGC358;0;1;5;62;1
NGC359;0;1;4;0;45
NGC360;0;1;2;-65;36
NGC361;0;1;2;-71;36
NGC362;0;1;3;-70;50
NGC363;0;1;6;-16;32
NGC364;0;1;4;0;48
NGC365;0;1;4;-35;7
NGC366;0;1;6;62;13
NGC367;0;1;5;-12;7
NGC368;0;1;4;-43;16
NGC369;0;1;5;-17;45
NGC370;0;1;6;32;25
NGC371;0;1;3;-72;3
NGC372;0;1;6;32;25
NGC373;0;1;6;32;18
NGC374;0;1;7;32;47
NGC375;0;1;7;32;20
NGC376;0;1;3;-72;49
NGC377;0;1;6;-20;19
NGC378;0;1;6;-30;10
NGC379;0;1;7;32;31
NGC380;0;1;7;32;28
NGC381;0;1;8;61;34
NGC382;0;1;7;32;24
NGC383;0;1;7;32;24
NGC384;0;1;7;32;17
NGC385;0;1;7;32;19
NGC386;0;1;7;32;21
NGC387;0;1;7;32;23
NGC388;0;1;7;32;18
NGC389;0;1;8;39;41
NGC390;0;1;7;32;25
NGC391;0;1;7;0;55
NGC392;0;1;8;33;7
NGC393;0;1;8;39;38
NGC394;0;1;8;33;8
NGC395;0;1;5;-71;59
NGC396;0;1;8;4;31
NGC397;0;1;8;33;6
NGC398;0;1;8;32;30
NGC399;0;1;8;32;37
NGC400;0;1;9;32;43
NGC401;0;1;9;32;45
NGC402;0;1;9;32;48
NGC403;0;1;9;32;45
NGC404;0;1;9;35;43
NGC405;0;1;8;-46;40
NGC406;0;1;7;-69;52
NGC407;0;1;10;33;7
NGC408;0;1;10;33;8
NGC409;0;1;9;-35;48
NGC410;0;1;10;33;9
NGC411;0;1;7;-71;46
NGC412;0;1;10;-20;0
NGC413;0;1;12;-2;47
NGC414;0;1;11;33;6
NGC415;0;1;10;-35;29
NGC416;0;1;7;-72;21
NGC417;0;1;11;-18;8
NGC418;0;1;10;-30;13
NGC419;0;1;8;-72;53
NGC420;0;1;12;32;7
NGC421;0;1;12;32;7
NGC422;0;1;9;-71;46
NGC423;0;1;11;-29;14
NGC424;0;1;11;-38;5
NGC425;0;1;13;38;46
NGC426;0;1;12;0;17
NGC427;0;1;12;-32;3
NGC428;0;1;12;0;58
NGC429;0;1;12;0;20
NGC430;0;1;12;0;15
NGC431;0;1;14;33;42
NGC432;0;1;11;-61;31
NGC433;0;1;15;60;7
NGC434;0;1;12;-58;14
NGC434;0;1;12;-58;12
NGC435;0;1;13;2;4
NGC436;0;1;15;58;49
NGC437;0;1;14;5;55
NGC438;0;1;13;-37;54
NGC439;0;1;13;-31;44
NGC440;0;1;12;-58;17
NGC441;0;1;13;-31;47
NGC442;0;1;14;-1;1
NGC443;0;1;15;33;22
NGC444;0;1;15;31;4
NGC445;0;1;14;1;55
NGC446;0;1;16;4;17
NGC447;0;1;15;33;3
NGC448;0;1;15;-1;37
NGC449;0;1;16;33;5
NGC450;0;1;15;0;51
NGC451;0;1;16;33;3
NGC452;0;1;16;31;1
NGC453;0;1;16;33;0
NGC454;0;1;14;-55;23
NGC454;0;1;14;-55;24
NGC455;0;1;15;5;10
NGC456;0;1;13;-73;17
NGC457;0;1;19;58;17
NGC458;0;1;14;-71;33
NGC459;0;1;18;17;33
NGC460;0;1;14;-73;16
NGC461;0;1;17;-33;50
NGC462;0;1;18;4;13
NGC463;0;1;18;16;19
NGC464;0;1;19;34;57
NGC465;0;1;15;-73;19
NGC466;0;1;17;-58;54
NGC467;0;1;19;3;18
NGC468;0;1;19;32;46
NGC469;0;1;19;14;52
NGC470;0;1;19;3;24
NGC471;0;1;19;14;47
NGC472;0;1;20;32;42
NGC473;0;1;19;16;32
NGC474;0;1;20;3;24
NGC475;0;1;20;14;51
NGC476;0;1;20;16;1
NGC477;0;1;21;40;29
NGC478;0;1;20;-22;22
NGC479;0;1;21;3;51
NGC480;0;1;20;-9;52
NGC481;0;1;21;-9;12
NGC482;0;1;20;-40;58
NGC483;0;1;21;33;31
NGC484;0;1;19;-58;31
NGC485;0;1;21;7;1
NGC486;0;1;21;5;20
NGC487;0;1;21;-16;22
NGC488;0;1;21;5;15
NGC489;0;1;21;9;12
NGC490;0;1;22;5;22
NGC491;0;1;20;-33;54
NGC491;0;1;21;-34;3
NGC492;0;1;22;5;24
